icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
48c129,RYR67WT ,Poland,1751992121,1751992121,19.908,49.7994,4244.34,False,176.2,185.36,14.63,,4282.44,1000,False,0,2025-07-08T16:28:42,FL5845,RT9374,AC4674,2025-07-02,2025-07-02T09:30:00,2025-07-03T02:23:00,on-time,,0,31151.3,SFO,SIN,8446,International,Long-haul,1013
408230,GECHL   ,United Kingdom,1751992121,1751992122,0.0833,50.7565,571.5,False,80.35,80.42,0.33,,670.56,1177,False,0,2025-07-08T16:28:42,FL4829,RT7502,AC5682,2025-07-02,2025-07-02T10:45:00,2025-07-02T12:12:00,on-time,,0,6767.27,ATL,DFW,732,Domestic,Short-haul,87
3c4dc3,DLH4PL  ,Germany,1751992122,1751992122,16.6532,46.9141,10980.42,False,223.23,286.05,-1.3,,11209.02,4501,False,0,2025-07-08T16:28:42,FL8052,RT6259,AC4709,2025-07-02,2025-07-02T09:30:00,2025-07-02T16:45:00,on-time,,0,17559.82,JFK,CDG,3625,International,Long-haul,435
461f6d,FIN9YC  ,Finland,1751992122,1751992122,-5.709,54.0483,4884.42,False,166.34,193.05,-0.98,,5135.88,1403,False,0,2025-07-08T16:28:42,FL6955,RT6565,AC5682,2025-07-02,2025-07-02T20:15:00,2025-07-02T22:17:00,delayed,supplier,38,7145.1,SEA,DEN,1024,Domestic,Medium-haul,122
4b193f,ENT2621 ,Switzerland,1751992122,1751992122,9.5647,48.5936,4175.76,False,191.03,103.55,3.9,,4274.82,2544,False,0,2025-07-08T16:28:42,FL8104,RT5358,AC7608,2025-07-02,2025-07-02T05:30:00,2025-07-02T09:11:00,delayed,supplier,82,8338.7,SFO,ORD,1846,Domestic,Medium-haul,221
4ca292,EIN7TL  ,Ireland,1751992122,1751992122,18.7004,44.2241,11285.22,False,252.16,130.45,0.33,,11673.84,3441,False,0,2025-07-08T16:28:42,FL3380,RT7502,AC7421,2025-07-02,2025-07-02T07:45:00,2025-07-02T09:12:00,on-time,,0,6598.77,ATL,DFW,732,Domestic,Short-haul,87
484aa1,TRA49R  ,Kingdom of the Netherlands,1751992122,1751992122,7.4751,50.9059,11285.22,False,248.87,130.47,3.25,,11452.86,1000,False,0,2025-07-08T16:28:42,FL2564,RT4447,AC5682,2025-07-02,2025-07-02T15:15:00,2025-07-02T20:12:00,on-time,,0,10108.26,JFK,LAX,2475,Domestic,Medium-haul,297
a59785,N46CS   ,United States,1751992117,1751992119,6.7205,51.1966,3954.78,False,114.72,222.27,-3.25,,3977.64,1346,False,0,2025-07-08T16:28:42,FL1189,RT9374,AC4686,2025-07-02,2025-07-02T18:00:00,2025-07-03T10:53:00,on-time,,0,29226.86,SFO,SIN,8446,International,Long-haul,1013
440609,AUA23L  ,Austria,1751992117,1751992119,14.8493,50.5859,9761.22,False,249.83,344.96,0.0,,9898.38,1000,False,0,2025-07-08T16:28:42,FL2205,RT7502,AC9250,2025-07-02,2025-07-02T21:30:00,2025-07-02T22:57:00,on-time,,0,6515.06,ATL,DFW,732,Domestic,Short-haul,87
738289,ISR351  ,Israel,1751992116,1751992117,29.4496,36.1089,10363.2,False,217.09,305.16,0.0,,11071.86,4137,False,0,2025-07-08T16:28:42,FL7083,RT6474,AC5682,2025-07-02,2025-07-02T17:45:00,2025-07-02T20:15:00,on-time,,0,8048.91,BOS,MIA,1258,Domestic,Medium-haul,150
4bcdb6,SXS8KX  ,Turkey,1751992122,1751992122,13.7616,48.7432,11582.4,False,232.01,299.63,0.0,,11780.52,3257,False,0,2025-07-08T16:28:42,FL5968,RT4447,AC7421,2025-07-02,2025-07-02T16:45:00,2025-07-02T21:42:00,on-time,,0,9159.48,JFK,LAX,2475,Domestic,Medium-haul,297
