icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,flight_day_x,route_id,aircraft_id,flight_day_y,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
8963e6,UAE6AL  ,United Arab Emirates,1751470884,1751470895,20.5481,41.8263,11887.2,False,260.94,108.51,0.33,,12527.28,,False,0,2025-07-02T15:42:30,FL5421,2025-06-30,RT4447,AC7421,2025-06-30,2025-06-30T09:00:00,2025-06-30T13:57:00,on-time,,0,9346.05,JFK,LAX,2475,Domestic,Medium-haul,297
407f67,EZY8512 ,United Kingdom,1751470949,1751470949,-8.8326,40.3546,9410.7,False,243.95,6.66,6.5,,9966.96,4707,False,0,2025-07-02T15:42:30,FL5235,2025-06-30,RT4447,AC5682,2025-06-30,2025-06-30T22:45:00,2025-07-01T03:42:00,on-time,,0,9345.42,JFK,LAX,2475,Domestic,Medium-haul,297
4cad39,RYR7243 ,Ireland,1751470950,1751470950,-1.3339,52.2153,2857.5,False,127.79,256.97,-7.15,,2994.66,5237,False,0,2025-07-02T15:42:30,FL2977,2025-06-30,RT9374,AC4674,2025-06-30,2025-06-30T21:30:00,2025-07-01T14:23:00,on-time,,0,29942.73,SFO,SIN,8446,International,Long-haul,1013
471f65,WMT7UU  ,Hungary,1751470950,1751470950,0.8539,52.202,4442.46,False,172.16,277.21,-4.88,,4610.1,3125,False,0,2025-07-02T15:42:30,FL1976,2025-06-30,RT5358,AC7432,2025-06-30,2025-06-30T12:30:00,2025-06-30T16:11:00,on-time,,0,9362.77,SFO,ORD,1846,Domestic,Medium-haul,221
4d221a,RYR234W ,Malta,1751470886,1751470887,-1.214,35.2089,11887.2,False,238.04,55.21,0.0,,12618.72,7754,False,0,2025-07-02T15:42:30,FL8299,2025-06-30,RT7502,AC7979,2025-06-30,2025-06-30T15:30:00,2025-06-30T16:57:00,on-time,,0,4308.83,ATL,DFW,732,Domestic,Short-haul,87
440d3e,EUROPA3 ,Austria,1751470949,1751470949,13.3889,48.33,1181.1,False,69.62,30.17,-2.6,,1310.64,1657,False,0,2025-07-02T15:42:30,FL2625,2025-06-30,RT7502,AC2808,2025-06-30,2025-06-30T21:30:00,2025-06-30T22:57:00,on-time,,0,7006.46,ATL,DFW,732,Domestic,Short-haul,87
440da5,EJU96ZR ,Austria,1751470950,1751470950,13.1236,52.243,1211.58,False,133.17,32.22,-5.2,,1348.74,1000,False,0,2025-07-02T15:42:30,FL1524,2025-06-30,RT5358,AC7421,2025-06-30,2025-06-30T04:30:00,2025-06-30T08:11:00,on-time,,0,9082.73,SFO,ORD,1846,Domestic,Medium-haul,221
407183,EXS4KU  ,United Kingdom,1751470928,1751470928,-8.0077,51.8948,10972.8,False,209.94,221.42,-0.33,,11163.3,1417,False,0,2025-07-02T15:42:30,FL9519,2025-06-30,RT9374,AC2907,2025-06-30,2025-06-30T11:15:00,2025-07-01T04:08:00,delayed,crew,107,29572.29,SFO,SIN,8446,International,Long-haul,1013
471fa7,WZZ53   ,Hungary,1751470949,1751470949,10.0027,46.5188,9448.8,False,242.7,103.36,0.0,,9997.44,1000,False,0,2025-07-02T15:42:30,FL5513,2025-06-30,RT9374,AC4674,2025-06-30,2025-06-30T11:15:00,2025-07-01T04:08:00,on-time,,0,31126.49,SFO,SIN,8446,International,Long-haul,1013
49c313,OKBUN69 ,Czech Republic,1751470936,1751470936,18.3596,49.6014,792.48,False,46.49,294.86,-1.95,,929.64,,False,0,2025-07-02T15:42:30,FL8222,2025-06-30,RT6565,AC7459,2025-06-30,2025-06-30T13:15:00,2025-06-30T15:17:00,on-time,,0,7276.18,SEA,DEN,1024,Domestic,Medium-haul,122
4d20c7,VJT503  ,Malta,1751470948,1751470948,22.6714,40.7239,12496.8,False,244.84,161.37,0.0,,13174.98,5474,False,0,2025-07-02T15:42:30,FL5961,2025-06-30,RT6259,AC4709,2025-06-30,2025-06-30T22:30:00,2025-07-01T05:45:00,on-time,,0,17189.38,JFK,CDG,3625,International,Long-haul,435
0a008c,DAH1099 ,Algeria,1751470949,1751470949,5.1711,45.3258,5852.16,False,213.56,181.38,13.0,,6187.44,6773,False,0,2025-07-02T15:42:30,FL9612,2025-06-30,RT6259,AC8469,2025-06-30,2025-06-30T16:15:00,2025-06-30T23:30:00,on-time,,0,17877.69,JFK,CDG,3625,International,Long-haul,435
