icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,flight_day_x,route_id,aircraft_id,flight_day_y,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
4a1265,CYF132  ,Romania,1751470949,1751470950,12.2109,41.9667,693.42,False,91.46,162.99,-4.55,,762.0,7213,False,0,2025-07-02T15:42:30,FL6575,2025-06-28,RT6474,AC7608,2025-06-28,2025-06-28T22:00:00,2025-06-29T00:30:00,on-time,,0,7509.71,BOS,MIA,1258,Domestic,Medium-haul,150
7100bb,SVA238  ,Saudi Arabia,1751470949,1751470949,16.5695,38.1167,11879.58,False,256.21,138.5,0.0,,12595.86,0207,False,0,2025-07-02T15:42:30,FL2948,2025-06-28,RT5358,AC7459,2025-06-28,2025-06-28T22:00:00,2025-06-29T01:41:00,delayed,supplier,59,8128.97,SFO,ORD,1846,Domestic,Medium-haul,221
4bab2d,THY20C  ,Turkey,1751470928,1751470928,29.4861,40.8791,3154.68,False,146.03,274.45,-5.53,,3322.32,,False,0,2025-07-02T15:42:30,FL3066,2025-06-28,RT6474,AC7432,2025-06-28,2025-06-28T14:30:00,2025-06-28T17:00:00,on-time,,0,7314.85,BOS,MIA,1258,Domestic,Medium-haul,150
345204,VLG9FX  ,Spain,1751470950,1751470950,1.5376,41.4724,7353.3,False,172.09,333.36,7.15,,7802.88,1000,False,0,2025-07-02T15:42:30,FL5608,2025-06-28,RT5358,AC9894,2025-06-28,2025-06-28T09:00:00,2025-06-28T12:41:00,on-time,,0,8986.53,SFO,ORD,1846,Domestic,Medium-haul,221
44003a,AUA9138 ,Austria,1751470800,1751470829,19.6401,41.7413,10363.2,False,232.69,335.02,0.0,,10919.46,2043,False,0,2025-07-02T15:42:30,FL2292,2025-06-28,RT9374,AC4686,2025-06-28,2025-06-28T18:00:00,2025-06-29T10:53:00,on-time,,0,30476.72,SFO,SIN,8446,International,Long-haul,1013
406754,EZY64XT ,United Kingdom,1751470949,1751470949,15.3627,46.3275,11277.6,False,237.06,129.81,0.0,,11894.82,3460,False,0,2025-07-02T15:42:30,FL2664,2025-06-28,RT6474,AC2808,2025-06-28,2025-06-28T08:30:00,2025-06-28T11:00:00,on-time,,0,7766.69,BOS,MIA,1258,Domestic,Medium-haul,150
4d22b8,RYR712L ,Malta,1751470949,1751470949,5.0836,40.6655,7848.6,False,207.63,228.01,-4.55,,8328.66,1000,False,0,2025-07-02T15:42:30,FL3335,2025-06-28,RT6474,AC2808,2025-06-28,2025-06-28T20:45:00,2025-06-28T23:15:00,delayed,crew,62,7800.1,BOS,MIA,1258,Domestic,Medium-haul,150
471f69,WMT493  ,Hungary,1751470950,1751470950,-7.0436,39.2863,10523.22,False,205.91,243.11,-11.05,,11155.68,0446,False,0,2025-07-02T15:42:30,FL1198,2025-06-28,RT6565,AC7432,2025-06-28,2025-06-28T04:45:00,2025-06-28T06:47:00,on-time,,0,7301.6,SEA,DEN,1024,Domestic,Medium-haul,122
4007fa,BAW119  ,United Kingdom,1751470949,1751470949,11.6023,49.3537,10668.0,False,251.25,112.26,0.0,,11239.5,3431,False,0,2025-07-02T15:42:30,FL4267,2025-06-28,RT4447,AC7459,2025-06-28,2025-06-28T13:15:00,2025-06-28T18:12:00,on-time,,0,10468.32,JFK,LAX,2475,Domestic,Medium-haul,297
4a2836,YRJAV   ,Romania,1751470949,1751470949,26.0719,44.968,944.88,False,38.58,286.26,0.33,,1059.18,,False,0,2025-07-02T15:42:30,FL2900,2025-06-28,RT6565,AC2808,2025-06-28,2025-06-28T08:15:00,2025-06-28T10:17:00,on-time,,0,7204.05,SEA,DEN,1024,Domestic,Medium-haul,122
