icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
4042c1,GUANO   ,United Kingdom,1751992122,1751992122,-0.8067,53.8044,541.02,False,47.49,219.73,-0.33,,609.6,0270,True,0,2025-07-08T16:28:42,FL9098,RT9374,AC4266,2025-07-06,2025-07-06T18:00:00,2025-07-07T10:53:00,on-time,,0,32089.4,SFO,SIN,8446,International,Long-haul,1013
502d5e,BTI6D9  ,Latvia,1751992120,1751992120,4.7394,52.2899,-30.48,False,72.36,57.78,-3.25,,60.96,1000,False,0,2025-07-08T16:28:42,FL2568,RT6474,AC7421,2025-07-06,2025-07-06T09:30:00,2025-07-06T12:00:00,delayed,supplier,114,8130.64,BOS,MIA,1258,Domestic,Medium-haul,150
4caad8,EAI75B  ,Ireland,1751992122,1751992122,-2.9793,53.3472,3954.78,False,127.73,289.53,-0.33,,4137.66,4220,False,0,2025-07-08T16:28:42,FL3089,RT6474,AC7459,2025-07-06,2025-07-06T13:30:00,2025-07-06T16:00:00,on-time,,0,7369.02,BOS,MIA,1258,Domestic,Medium-haul,150
4bccb0,SXS8CK  ,Turkey,1751992122,1751992122,9.5411,47.7257,5181.6,False,124.09,267.62,-6.5,,5273.04,6003,False,0,2025-07-08T16:28:42,FL4696,RT6565,AC7432,2025-07-06,2025-07-06T17:15:00,2025-07-06T19:17:00,on-time,,0,7512.93,SEA,DEN,1024,Domestic,Medium-haul,122
501d18,CTN4432 ,Croatia,1751992122,1751992122,16.3692,44.3036,10355.58,False,218.23,327.81,-0.33,,10668.0,1000,False,0,2025-07-08T16:28:42,FL6217,RT9374,AC4686,2025-07-06,2025-07-06T09:15:00,2025-07-07T02:08:00,delayed,supplier,59,32873.74,SFO,SIN,8446,International,Long-haul,1013
485206,KLM29Z  ,Kingdom of the Netherlands,1751992116,1751992119,-2.9633,50.7764,1874.52,False,100.32,270.0,-8.78,,2019.3,3627,True,0,2025-07-08T16:28:42,FL2103,RT6565,AC7459,2025-07-06,2025-07-06T06:15:00,2025-07-06T08:17:00,on-time,,0,7262.28,SEA,DEN,1024,Domestic,Medium-haul,122
406544,EZY78QV ,United Kingdom,1751992122,1751992122,-6.2605,54.6459,441.96,False,82.01,246.33,6.18,,541.02,,False,0,2025-07-08T16:28:42,FL7373,RT6474,AC7459,2025-07-06,2025-07-06T17:15:00,2025-07-06T19:45:00,on-time,,0,7337.84,BOS,MIA,1258,Domestic,Medium-haul,150
4ca251,RYR93AX ,Ireland,1751992122,1751992122,15.3157,52.1676,10972.8,False,220.2,180.67,0.0,,11125.2,2214,False,0,2025-07-08T16:28:42,FL5934,RT9374,AC4709,2025-07-06,2025-07-06T17:30:00,2025-07-07T10:23:00,on-time,,0,29559.96,SFO,SIN,8446,International,Long-haul,1013
4785c0,WIF207  ,Norway,1751992119,1751992122,8.2095,59.444,7315.2,False,159.53,304.36,0.0,,7437.12,0206,False,0,2025-07-08T16:28:42,FL8805,RT6474,AC9250,2025-07-06,2025-07-06T11:30:00,2025-07-06T14:00:00,delayed,crew,42,7997.34,BOS,MIA,1258,Domestic,Medium-haul,150
4d2301,RYR317K ,Malta,1751992122,1751992122,14.0375,41.1496,4312.92,False,165.29,341.11,10.73,,4488.18,1000,False,0,2025-07-08T16:28:42,FL1211,RT6474,AC7459,2025-07-06,2025-07-06T06:45:00,2025-07-06T09:15:00,on-time,,0,8153.73,BOS,MIA,1258,Domestic,Medium-haul,150
493286,NJE381C ,Portugal,1751992122,1751992122,15.3149,45.651,5074.92,False,184.89,316.8,-10.08,,5173.98,0735,False,0,2025-07-08T16:28:42,FL7044,RT9374,AC4709,2025-07-06,2025-07-06T14:45:00,2025-07-07T07:38:00,on-time,,0,29610.04,SFO,SIN,8446,International,Long-haul,1013
