icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
485785,KLM895  ,Kingdom of the Netherlands,1751992105,1751992121,29.205,42.9887,11277.6,False,274.66,103.1,-0.33,,11879.58,4547,False,0,2025-07-08T16:28:42,FL7399,RT6565,AC7459,2025-06-16,2025-06-16T05:45:00,2025-06-16T07:47:00,on-time,,0,7618.7,SEA,DEN,1024,Domestic,Medium-haul,122
780630,HLF8865 ,China,1751992122,1751992122,9.43,52.3248,10363.2,False,256.83,225.49,0.0,,10469.88,1000,False,0,2025-07-08T16:28:42,FL9545,RT6259,AC4709,2025-06-16,2025-06-16T21:00:00,2025-06-17T04:15:00,on-time,,0,19150.59,JFK,CDG,3625,International,Long-haul,435
4d20b5,AJD18FJ ,Malta,1751992118,1751992118,24.8133,59.4168,,True,1.03,272.81,,,,,False,0,2025-07-08T16:28:42,FL3638,RT7502,AC7979,2025-06-16,2025-06-16T19:45:00,2025-06-16T21:12:00,on-time,,0,4487.29,ATL,DFW,732,Domestic,Short-haul,87
343046,VLG7PM  ,Spain,1751992121,1751992121,11.6299,44.8247,8846.82,False,198.14,255.57,8.45,,9022.08,1000,False,0,2025-07-08T16:28:42,FL9800,RT7502,AC2808,2025-06-16,2025-06-16T18:45:00,2025-06-16T20:12:00,on-time,,0,7057.06,ATL,DFW,732,Domestic,Short-haul,87
89620b,UAE29V  ,United Arab Emirates,1751992117,1751992119,18.4182,47.0202,10363.2,False,252.84,296.46,0.0,,10591.8,3201,False,0,2025-07-08T16:28:42,FL3797,RT6474,AC7421,2025-06-16,2025-06-16T04:15:00,2025-06-16T06:45:00,delayed,crew,55,7725.14,BOS,MIA,1258,Domestic,Medium-haul,150
4d21b1,FHM6504 ,Malta,1751992122,1751992122,0.8842,46.4213,10980.42,False,231.57,15.86,0.0,,11460.48,5325,False,0,2025-07-08T16:28:42,FL5617,RT7502,AC7979,2025-06-16,2025-06-16T18:45:00,2025-06-16T20:12:00,delayed,supplier,34,4535.63,ATL,DFW,732,Domestic,Short-haul,87
4bcdf4,SXS9MD  ,Turkey,1751992122,1751992122,11.0555,53.3194,5181.6,False,176.25,325.1,-3.25,,5250.18,7542,False,0,2025-07-08T16:28:42,FL7802,RT9374,AC4674,2025-06-16,2025-06-16T22:00:00,2025-06-17T14:53:00,on-time,,0,32840.72,SFO,SIN,8446,International,Long-haul,1013
4d22b1,RYR3XL  ,Malta,1751992100,1751992101,16.5546,48.1195,,True,1.54,205.31,,,,7146,False,0,2025-07-08T16:28:42,FL3908,RT4447,AC2808,2025-06-16,2025-06-16T20:00:00,2025-06-17T00:57:00,on-time,,0,9486.87,JFK,LAX,2475,Domestic,Medium-haul,297
44083f,EJU93ZN ,Austria,1751992121,1751992122,3.2927,48.1082,4145.28,False,162.61,328.32,-10.4,,4335.78,1000,False,0,2025-07-08T16:28:42,FL6566,RT7502,AC7608,2025-06-16,2025-06-16T18:00:00,2025-06-16T19:27:00,on-time,,0,7174.25,ATL,DFW,732,Domestic,Short-haul,87
896463,ETD1VW  ,United Arab Emirates,1751992122,1751992122,6.2228,52.0035,11582.4,False,245.78,266.76,0.0,,11795.76,3117,False,0,2025-07-08T16:28:42,FL8036,RT6474,AC2808,2025-06-16,2025-06-16T14:00:00,2025-06-16T16:30:00,on-time,,0,8207.8,BOS,MIA,1258,Domestic,Medium-haul,150
78076e,CCA939  ,China,1751992117,1751992119,12.3214,42.1802,1607.82,False,113.73,252.63,-4.55,,1668.78,1000,False,0,2025-07-08T16:28:42,FL8188,RT6259,AC4266,2025-06-16,2025-06-16T19:00:00,2025-06-17T02:15:00,on-time,,0,18165.21,JFK,CDG,3625,International,Long-haul,435
