icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
486491,KLM58M  ,Kingdom of the Netherlands,1751992122,1751992122,2.5766,50.2743,10607.04,False,203.52,35.02,-7.48,,10934.7,1000,False,0,2025-07-08T16:28:42,FL1423,RT4447,AC5682,2025-06-22,2025-06-22T21:00:00,2025-06-23T01:57:00,on-time,,0,9559.05,JFK,LAX,2475,Domestic,Medium-haul,297
45c974,OYRKT   ,Denmark,1751991907,1751991907,12.1221,55.8392,91.44,False,33.71,285.95,-3.25,,99.06,5463,False,0,2025-07-08T16:28:42,FL4515,RT4447,AC9894,2025-06-22,2025-06-22T14:00:00,2025-06-22T18:57:00,delayed,crew,30,10522.62,JFK,LAX,2475,Domestic,Medium-haul,297
4bccaa,SXS6KG  ,Turkey,1751992122,1751992122,12.08,52.6048,9906.0,False,218.12,317.58,-10.73,,10005.06,3574,False,0,2025-07-08T16:28:42,FL2334,RT6474,AC9250,2025-06-22,2025-06-22T13:00:00,2025-06-22T15:30:00,on-time,,0,7962.34,BOS,MIA,1258,Domestic,Medium-haul,150
406ae2,BAW96E  ,United Kingdom,1751992122,1751992122,10.254,53.865,1562.1,False,134.37,132.36,-3.9,,1607.82,2216,False,0,2025-07-08T16:28:42,FL8310,RT6474,AC7608,2025-06-22,2025-06-22T06:30:00,2025-06-22T09:00:00,on-time,,0,8266.77,BOS,MIA,1258,Domestic,Medium-haul,150
4b15ef,EDW364  ,Switzerland,1751992122,1751992122,11.0591,47.1038,9144.0,False,220.73,322.2,-0.33,,9258.3,7226,False,0,2025-07-08T16:28:42,FL7914,RT6259,AC8469,2025-06-22,2025-06-22T14:00:00,2025-06-22T21:15:00,on-time,,0,18824.15,JFK,CDG,3625,International,Long-haul,435
4ca853,RYR14JF ,Ireland,1751992122,1751992122,0.8347,46.1059,11277.6,False,225.7,209.19,0.0,,11757.66,4114,False,0,2025-07-08T16:28:42,FL8701,RT6565,AC7459,2025-06-22,2025-06-22T22:15:00,2025-06-23T00:17:00,on-time,,0,7313.27,SEA,DEN,1024,Domestic,Medium-haul,122
3c65c2,DLH612  ,Germany,1751992122,1751992122,16.507,46.028,11277.6,False,245.49,117.05,0.0,,11544.3,7701,False,0,2025-07-08T16:28:42,FL2453,RT9374,AC4686,2025-06-22,2025-06-22T12:45:00,2025-06-23T05:38:00,on-time,,0,30939.96,SFO,SIN,8446,International,Long-haul,1013
3c17de,12346R28,Germany,1751992114,1751992118,9.8252,53.5379,,True,0.0,194.06,,,,,False,0,2025-07-08T16:28:42,FL8483,RT6474,AC9250,2025-06-22,2025-06-22T11:00:00,2025-06-22T13:30:00,on-time,,0,7744.9,BOS,MIA,1258,Domestic,Medium-haul,150
4b1a2e,EZS21MU ,Switzerland,1751992120,1751992122,7.5237,47.5978,220.98,False,68.81,334.78,-4.23,,312.42,1000,False,0,2025-07-08T16:28:42,FL7850,RT9374,AC4674,2025-06-22,2025-06-22T13:30:00,2025-06-23T06:23:00,on-time,,0,31034.55,SFO,SIN,8446,International,Long-haul,1013
4ab56e,SAS1257 ,Sweden,1751992117,1751992119,12.4781,55.6433,1744.98,False,92.72,353.31,7.15,,1744.98,0433,False,0,2025-07-08T16:28:42,FL9565,RT7502,AC7459,2025-06-22,2025-06-22T05:45:00,2025-06-22T07:12:00,on-time,,0,6885.17,ATL,DFW,732,Domestic,Short-haul,87
407f79,EZY97YG ,United Kingdom,1751992122,1751992122,5.5133,46.4617,11269.98,False,279.59,115.39,-0.33,,11620.5,2704,False,0,2025-07-08T16:28:42,FL6354,RT6259,AC4686,2025-06-22,2025-06-22T06:45:00,2025-06-22T14:00:00,on-time,,0,19462.44,JFK,CDG,3625,International,Long-haul,435
39ac18,SAMU26  ,France,1751992117,1751992118,4.9096,45.7476,274.32,False,30.87,89.05,4.23,,381.0,7015,False,0,2025-07-08T16:28:42,FL5898,RT6259,AC4674,2025-06-22,2025-06-22T15:30:00,2025-06-22T22:45:00,on-time,,0,18550.77,JFK,CDG,3625,International,Long-haul,435
