icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
408051,EZY2939 ,United Kingdom,1751992122,1751992122,-2.9746,51.312,2606.04,False,150.23,216.09,17.23,,2750.82,0523,False,0,2025-07-08T16:28:42,FL3773,RT6259,AC4266,2025-06-18,2025-06-18T14:45:00,2025-06-18T22:00:00,on-time,,0,17975.12,JFK,CDG,3625,International,Long-haul,435
40796a,TOM273  ,United Kingdom,1751991989,1751991989,22.5713,43.846,10370.82,False,221.33,297.1,0.0,,10820.4,3236,False,0,2025-07-08T16:28:42,FL8846,RT6259,AC4686,2025-06-18,2025-06-18T07:45:00,2025-06-18T15:00:00,on-time,,0,17032.19,JFK,CDG,3625,International,Long-haul,435
3cd2d3,SCR744  ,Germany,1751992119,1751992122,8.167,40.3228,12192.0,False,235.33,126.02,0.0,,12786.36,4032,True,0,2025-07-08T16:28:42,FL8234,RT6565,AC9894,2025-06-18,2025-06-18T13:15:00,2025-06-18T15:17:00,on-time,,0,7500.65,SEA,DEN,1024,Domestic,Medium-haul,122
484b31,KLM82J  ,Kingdom of the Netherlands,1751992122,1751992122,11.2581,44.3114,5623.56,False,178.22,192.67,-1.63,,5753.1,1000,False,0,2025-07-08T16:28:42,FL5330,RT9374,AC4686,2025-06-18,2025-06-18T06:30:00,2025-06-18T23:23:00,on-time,,0,31911.55,SFO,SIN,8446,International,Long-haul,1013
484b31,KLM82J  ,Kingdom of the Netherlands,1751992122,1751992122,11.2581,44.3114,5623.56,False,178.22,192.67,-1.63,,5753.1,1000,False,0,2025-07-08T16:28:42,FL5330,RT4447,AC2808,2025-06-18,2025-06-18T22:30:00,2025-06-19T03:27:00,on-time,,0,9725.58,JFK,LAX,2475,Domestic,Medium-haul,297
503e6c,TRA69E  ,Lithuania,1751992122,1751992122,1.8101,47.0866,10675.62,False,243.36,191.83,0.0,,11109.96,7126,False,0,2025-07-08T16:28:42,FL5330,RT9374,AC4686,2025-06-18,2025-06-18T06:30:00,2025-06-18T23:23:00,on-time,,0,31911.55,SFO,SIN,8446,International,Long-haul,1013
503e6c,TRA69E  ,Lithuania,1751992122,1751992122,1.8101,47.0866,10675.62,False,243.36,191.83,0.0,,11109.96,7126,False,0,2025-07-08T16:28:42,FL5330,RT4447,AC2808,2025-06-18,2025-06-18T22:30:00,2025-06-19T03:27:00,on-time,,0,9725.58,JFK,LAX,2475,Domestic,Medium-haul,297
4cadc2,RYR37GV ,Ireland,1751992122,1751992122,4.7429,51.4908,3276.6,False,169.67,57.13,-2.6,,3383.28,1000,False,0,2025-07-08T16:28:42,FL4795,RT4447,AC7432,2025-06-18,2025-06-18T19:45:00,2025-06-19T00:42:00,delayed,crew,35,9339.15,JFK,LAX,2475,Domestic,Medium-haul,297
4cade6,RYR3SL  ,Ireland,1751992122,1751992122,5.5607,42.403,10363.2,False,235.66,47.92,0.0,,10873.74,1413,False,0,2025-07-08T16:28:42,FL5524,RT5358,AC7459,2025-06-18,2025-06-18T10:00:00,2025-06-18T13:41:00,on-time,,0,8816.34,SFO,ORD,1846,Domestic,Medium-haul,221
3444c8,VOE9BG  ,Spain,1751992122,1751992122,0.0061,43.4331,10972.8,False,243.18,66.96,0.33,,11529.06,1000,False,0,2025-07-08T16:28:42,FL2249,RT9374,AC4674,2025-06-18,2025-06-18T04:00:00,2025-06-18T20:53:00,on-time,,0,32059.51,SFO,SIN,8446,International,Long-haul,1013
48c2a5,RYR2LB  ,Poland,1751992117,1751992119,-4.0128,53.3921,8298.18,False,242.36,96.58,7.48,,8633.46,4721,False,0,2025-07-08T16:28:42,FL5076,RT6474,AC9894,2025-06-18,2025-06-18T10:30:00,2025-06-18T13:00:00,on-time,,0,8071.23,BOS,MIA,1258,Domestic,Medium-haul,150
4cae90,RYR587A ,Ireland,1751992122,1751992122,-8.255,44.2475,11277.6,False,226.66,199.63,0.0,,11856.72,2002,False,0,2025-07-08T16:28:42,FL8469,RT6474,AC9250,2025-06-18,2025-06-18T10:45:00,2025-06-18T13:15:00,delayed,supplier,52,7942.58,BOS,MIA,1258,Domestic,Medium-haul,150
