icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
344449,IBE08EY ,Spain,1751992122,1751992122,-2.7508,40.4959,3939.54,False,157.71,231.22,-5.2,,4259.58,1000,False,0,2025-07-08T16:28:42,FL1164,RT6565,AC9894,2025-06-23,2025-06-23T06:30:00,2025-06-23T08:32:00,on-time,,0,7392.76,SEA,DEN,1024,Domestic,Medium-haul,122
4952ce,TAP1364 ,Portugal,1751992122,1751992122,-4.5912,43.531,11582.4,False,238.92,28.28,-0.33,,12192.0,5436,False,0,2025-07-08T16:28:42,FL7120,RT6565,AC5682,2025-06-23,2025-06-23T07:45:00,2025-06-23T09:47:00,on-time,,0,7572.29,SEA,DEN,1024,Domestic,Medium-haul,122
4cac7a,SAS2118 ,Ireland,1751992121,1751992122,1.5521,42.0169,10988.04,False,226.07,350.17,0.0,,11567.16,5520,False,0,2025-07-08T16:28:42,FL8325,RT5358,AC5682,2025-06-23,2025-06-23T04:00:00,2025-06-23T07:41:00,on-time,,0,9153.61,SFO,ORD,1846,Domestic,Medium-haul,221
3c6637,DLH8LT  ,Germany,1751992122,1751992122,12.9277,55.6957,1082.04,False,136.42,21.92,-7.15,,1112.52,3744,False,0,2025-07-08T16:28:42,FL6192,RT7502,AC7459,2025-06-23,2025-06-23T06:00:00,2025-06-23T07:27:00,on-time,,0,6375.27,ATL,DFW,732,Domestic,Short-haul,87
4066fa,EXS26G  ,United Kingdom,1751992117,1751992118,1.3778,46.7237,10058.4,False,251.26,154.27,0.0,,10500.36,2242,False,0,2025-07-08T16:28:42,FL2991,RT5358,AC7421,2025-06-23,2025-06-23T06:00:00,2025-06-23T09:41:00,on-time,,0,8840.59,SFO,ORD,1846,Domestic,Medium-haul,221
300803,IARUM   ,Italy,1751992122,1751992122,11.6905,44.828,3413.76,False,105.56,68.56,-2.93,,3482.34,1000,False,0,2025-07-08T16:28:42,FL1532,RT6259,AC4686,2025-06-23,2025-06-23T08:00:00,2025-06-23T15:15:00,delayed,supplier,115,18373.27,JFK,CDG,3625,International,Long-haul,435
440732,EJU17TK ,Austria,1751992122,1751992122,11.3159,44.1062,9319.26,False,259.76,155.92,-12.68,,9593.58,1000,False,0,2025-07-08T16:28:42,FL5606,RT6259,AC8469,2025-06-23,2025-06-23T08:15:00,2025-06-23T15:30:00,delayed,weather,48,16980.99,JFK,CDG,3625,International,Long-haul,435
401385,GSTNG   ,United Kingdom,1751992120,1751992122,0.0117,52.2198,731.52,False,48.91,284.62,2.6,,807.72,,False,0,2025-07-08T16:28:42,FL2352,RT5358,AC2808,2025-06-23,2025-06-23T17:00:00,2025-06-23T20:41:00,on-time,,0,8980.29,SFO,ORD,1846,Domestic,Medium-haul,221
4a2181,HLJ125  ,Romania,1751992119,1751992122,27.8845,43.1783,10972.8,False,223.85,316.96,0.0,,11529.06,7330,False,0,2025-07-08T16:28:42,FL4972,RT7502,AC7432,2025-06-23,2025-06-23T19:30:00,2025-06-23T20:57:00,on-time,,0,6580.93,ATL,DFW,732,Domestic,Short-haul,87
a3fce7,UPS207  ,United States,1751992122,1751992122,-7.9069,53.8567,7261.86,False,244.26,101.66,-12.35,,7574.28,3602,False,0,2025-07-08T16:28:42,FL5148,RT6259,AC4674,2025-06-23,2025-06-23T15:15:00,2025-06-23T22:30:00,delayed,supplier,39,18898.32,JFK,CDG,3625,International,Long-haul,435
