order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-0ef31275,S001,Reed-Houston AeroFuel,Fuel,FL5845,AC4674,2025-06-30,2025-07-14,False,9890.07,2025-07-02,2025-07-08T16:29:04.667490
ORD-436e3386,S004,Morris Inc Aircraft Maintenance,Maintenance,FL5845,AC4674,2025-06-18,2025-07-22,False,19322.65,2025-07-02,2025-07-08T16:29:04.667519
ORD-420004fa,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL5845,AC4674,2025-06-13,2025-07-21,False,22445.78,2025-07-02,2025-07-08T16:29:04.667549
ORD-9686a720,S003,Barker LLC Fuel Systems,Fuel,FL4829,AC5682,2025-06-08,2025-07-17,False,889.38,2025-07-02,2025-07-08T16:29:04.667616
ORD-e8c29634,S005,Zamora-Robinson AeroTech,Maintenance,FL4829,AC5682,2025-06-29,2025-07-16,False,5008.21,2025-07-02,2025-07-08T16:29:04.667645
ORD-173ea61d,S008,Robinson Inc JetBites,Catering,FL4829,AC5682,2025-07-06,2025-07-09,False,5606.16,2025-07-02,2025-07-08T16:29:04.667675
ORD-b22bac88,S003,Barker LLC Fuel Systems,Fuel,FL8052,AC4709,2025-06-26,2025-07-18,False,4533.47,2025-07-02,2025-07-08T16:29:04.667743
ORD-ec75f8c9,S006,Pratt-Stone Avionics Services,Maintenance,FL8052,AC4709,2025-07-07,2025-07-13,False,24895.08,2025-07-02,2025-07-08T16:29:04.667771
ORD-6c8cbc27,S008,Robinson Inc JetBites,Catering,FL8052,AC4709,2025-06-26,2025-07-18,False,15102.43,2025-07-02,2025-07-08T16:29:04.667800
ORD-0c5eb38b,S001,Reed-Houston AeroFuel,Fuel,FL6955,AC5682,2025-07-06,2025-07-17,True,1274.41,2025-07-02,2025-07-08T16:29:04.667867
ORD-10945663,S005,Zamora-Robinson AeroTech,Maintenance,FL6955,AC5682,2025-06-12,2025-07-08,True,4940.61,2025-07-02,2025-07-08T16:29:04.667894
ORD-3b82f3fc,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL6955,AC5682,2025-07-01,2025-07-19,True,5614.53,2025-07-02,2025-07-08T16:29:04.667921
ORD-394ece86,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL8104,AC7608,2025-07-07,2025-07-21,True,1888.11,2025-07-02,2025-07-08T16:29:04.668019
ORD-b901ef9e,S004,Morris Inc Aircraft Maintenance,Maintenance,FL8104,AC7608,2025-06-26,2025-07-08,True,7004.22,2025-07-02,2025-07-08T16:29:04.668047
ORD-2d55357c,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL8104,AC7608,2025-06-26,2025-07-13,True,7315.84,2025-07-02,2025-07-08T16:29:04.668075
ORD-3a77e733,S003,Barker LLC Fuel Systems,Fuel,FL3380,AC7421,2025-07-02,2025-07-15,False,741.59,2025-07-02,2025-07-08T16:29:04.668143
ORD-b7a5eea9,S006,Pratt-Stone Avionics Services,Maintenance,FL3380,AC7421,2025-06-24,2025-07-22,False,4894.6,2025-07-02,2025-07-08T16:29:04.668171
ORD-34a20dfc,S007,Payne-Cunningham CloudCatering,Catering,FL3380,AC7421,2025-06-21,2025-07-12,False,4447.15,2025-07-02,2025-07-08T16:29:04.668199
ORD-2e6c8a4a,S001,Reed-Houston AeroFuel,Fuel,FL2564,AC5682,2025-07-02,2025-07-18,False,2675.72,2025-07-02,2025-07-08T16:29:04.668267
ORD-f1bd87e3,S006,Pratt-Stone Avionics Services,Maintenance,FL2564,AC5682,2025-07-07,2025-07-16,False,8803.63,2025-07-02,2025-07-08T16:29:04.668295
ORD-1e34c0ed,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL2564,AC5682,2025-06-14,2025-07-08,False,5788.01,2025-07-02,2025-07-08T16:29:04.668322
ORD-9b775442,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL1189,AC4686,2025-06-19,2025-07-09,False,10179.25,2025-07-02,2025-07-08T16:29:04.668388
ORD-12018094,S004,Morris Inc Aircraft Maintenance,Maintenance,FL1189,AC4686,2025-06-24,2025-07-09,False,19827.63,2025-07-02,2025-07-08T16:29:04.668415
ORD-ab15d6f1,S008,Robinson Inc JetBites,Catering,FL1189,AC4686,2025-06-21,2025-07-10,False,17586.05,2025-07-02,2025-07-08T16:29:04.668442
ORD-7697b147,S001,Reed-Houston AeroFuel,Fuel,FL2205,AC9250,2025-06-20,2025-07-15,False,773.03,2025-07-02,2025-07-08T16:29:04.668507
