order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-d418fb45,S003,Barker LLC Fuel Systems,Fuel,FL7399,AC7459,2025-06-29,2025-07-22,False,1189.69,2025-06-16,2025-07-08T16:29:04.647996
ORD-bdc8bbe1,S006,Pratt-Stone Avionics Services,Maintenance,FL7399,AC7459,2025-06-28,2025-07-20,False,5785.96,2025-06-16,2025-07-08T16:29:04.648024
ORD-a7429701,S007,Payne-Cunningham CloudCatering,Catering,FL7399,AC7459,2025-06-24,2025-07-20,False,5119.05,2025-06-16,2025-07-08T16:29:04.648052
ORD-2853493c,S001,Reed-Houston AeroFuel,Fuel,FL9545,AC4709,2025-07-05,2025-07-15,False,3400.1,2025-06-16,2025-07-08T16:29:04.648119
ORD-606a40bd,S004,Morris Inc Aircraft Maintenance,Maintenance,FL9545,AC4709,2025-06-16,2025-07-14,False,19117.26,2025-06-16,2025-07-08T16:29:04.648148
ORD-314d177b,S007,Payne-Cunningham CloudCatering,Catering,FL9545,AC4709,2025-06-16,2025-07-13,False,10317.66,2025-06-16,2025-07-08T16:29:04.648175
ORD-535b0dac,S003,Barker LLC Fuel Systems,Fuel,FL3638,AC7979,2025-06-22,2025-07-20,False,948.91,2025-06-16,2025-07-08T16:29:04.648250
ORD-8aedee9d,S004,Morris Inc Aircraft Maintenance,Maintenance,FL3638,AC7979,2025-06-20,2025-07-14,False,5203.78,2025-06-16,2025-07-08T16:29:04.648279
ORD-2fc496b3,S008,Robinson Inc JetBites,Catering,FL3638,AC7979,2025-06-16,2025-07-09,False,1792.82,2025-06-16,2025-07-08T16:29:04.648308
ORD-25fb3228,S003,Barker LLC Fuel Systems,Fuel,FL9800,AC2808,2025-06-09,2025-07-19,False,815.58,2025-06-16,2025-07-08T16:29:04.648379
ORD-87785a40,S004,Morris Inc Aircraft Maintenance,Maintenance,FL9800,AC2808,2025-06-17,2025-07-08,False,5136.86,2025-06-16,2025-07-08T16:29:04.648408
ORD-05a36516,S007,Payne-Cunningham CloudCatering,Catering,FL9800,AC2808,2025-06-22,2025-07-09,False,3833.57,2025-06-16,2025-07-08T16:29:04.648437
