order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-8c9d3b86,S001,Reed-Houston AeroFuel,Fuel,FL8447,AC7459,2025-06-24,2025-07-20,True,2234.08,2025-06-14,2025-07-08T16:29:04.645828
ORD-ef3dc9bc,S006,Pratt-Stone Avionics Services,Maintenance,FL8447,AC7459,2025-07-04,2025-07-08,True,10307.7,2025-06-14,2025-07-08T16:29:04.645861
ORD-6d2fc27d,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL8447,AC7459,2025-07-04,2025-07-16,True,5601.55,2025-06-14,2025-07-08T16:29:04.645894
ORD-387b5c4d,S001,Reed-Houston AeroFuel,Fuel,FL1892,AC2907,2025-06-14,2025-07-18,False,4167.14,2025-06-14,2025-07-08T16:29:04.645972
ORD-5df6ab91,S006,Pratt-Stone Avionics Services,Maintenance,FL1892,AC2907,2025-07-07,2025-07-16,False,21817.58,2025-06-14,2025-07-08T16:29:04.646003
ORD-5f2f47af,S008,Robinson Inc JetBites,Catering,FL1892,AC2907,2025-06-10,2025-07-14,False,14796.59,2025-06-14,2025-07-08T16:29:04.646034
ORD-15604c72,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL1308,AC7421,2025-06-09,2025-07-10,False,2218.58,2025-06-14,2025-07-08T16:29:04.646111
ORD-017e5be3,S004,Morris Inc Aircraft Maintenance,Maintenance,FL1308,AC7421,2025-06-16,2025-07-10,False,7838.18,2025-06-14,2025-07-08T16:29:04.646143
ORD-1a8d0b9e,S007,Payne-Cunningham CloudCatering,Catering,FL1308,AC7421,2025-06-16,2025-07-14,False,5164.69,2025-06-14,2025-07-08T16:29:04.646174
ORD-ed94bb8e,S001,Reed-Houston AeroFuel,Fuel,FL5092,AC5682,2025-06-11,2025-07-22,False,1522.23,2025-06-14,2025-07-08T16:29:04.646249
ORD-706623ad,S005,Zamora-Robinson AeroTech,Maintenance,FL5092,AC5682,2025-06-22,2025-07-08,False,7182.07,2025-06-14,2025-07-08T16:29:04.646281
ORD-fb6207f5,S007,Payne-Cunningham CloudCatering,Catering,FL5092,AC5682,2025-06-10,2025-07-10,False,5192.45,2025-06-14,2025-07-08T16:29:04.646312
ORD-5219ce87,S001,Reed-Houston AeroFuel,Fuel,FL3002,AC4709,2025-06-30,2025-07-18,False,8035.23,2025-06-14,2025-07-08T16:29:04.646385
ORD-b2491439,S005,Zamora-Robinson AeroTech,Maintenance,FL3002,AC4709,2025-06-12,2025-07-09,False,19309.04,2025-06-14,2025-07-08T16:29:04.646416
ORD-a144b4ea,S008,Robinson Inc JetBites,Catering,FL3002,AC4709,2025-06-11,2025-07-17,False,16099.41,2025-06-14,2025-07-08T16:29:04.646446
ORD-e37909c2,S001,Reed-Houston AeroFuel,Fuel,FL7299,AC7432,2025-06-15,2025-07-13,False,1898.54,2025-06-14,2025-07-08T16:29:04.646517
ORD-d35bfe10,S004,Morris Inc Aircraft Maintenance,Maintenance,FL7299,AC7432,2025-06-12,2025-07-20,False,8198.5,2025-06-14,2025-07-08T16:29:04.646547
ORD-f549f247,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL7299,AC7432,2025-06-22,2025-07-19,False,4200.38,2025-06-14,2025-07-08T16:29:04.646577
ORD-c9551c5c,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL6087,AC7421,2025-06-27,2025-07-12,False,1124.06,2025-06-14,2025-07-08T16:29:04.646648
ORD-b2d58f12,S006,Pratt-Stone Avionics Services,Maintenance,FL6087,AC7421,2025-06-14,2025-07-21,False,6254.89,2025-06-14,2025-07-08T16:29:04.646678
ORD-2a2f724a,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL6087,AC7421,2025-06-08,2025-07-13,False,4993.3,2025-06-14,2025-07-08T16:29:04.646708
ORD-b5ff2492,S003,Barker LLC Fuel Systems,Fuel,FL1916,AC7421,2025-06-21,2025-07-19,True,2643.2,2025-06-14,2025-07-08T16:29:04.646780
ORD-618bbee2,S005,Zamora-Robinson AeroTech,Maintenance,FL1916,AC7421,2025-06-16,2025-07-18,True,9301.17,2025-06-14,2025-07-08T16:29:04.646811
ORD-77184eec,S007,Payne-Cunningham CloudCatering,Catering,FL1916,AC7421,2025-06-15,2025-07-13,True,7089.09,2025-06-14,2025-07-08T16:29:04.646840
