order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-e6563cc2,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL1661,AC9894,2025-07-05,2025-07-14,False,2981.65,2025-07-01,2025-07-08T16:29:04.666515
ORD-df765a7e,S004,Morris Inc Aircraft Maintenance,Maintenance,FL1661,AC9894,2025-06-12,2025-07-08,False,19037.9,2025-07-01,2025-07-08T16:29:04.666543
ORD-1646ec3b,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL1661,AC9894,2025-06-28,2025-07-12,False,7568.15,2025-07-01,2025-07-08T16:29:04.666569
ORD-eb33cbfc,S001,Reed-Houston AeroFuel,Fuel,FL4552,AC4709,2025-06-24,2025-07-22,False,7712.97,2025-07-01,2025-07-08T16:29:04.666635
ORD-fdf2b2d6,S006,Pratt-Stone Avionics Services,Maintenance,FL4552,AC4709,2025-06-12,2025-07-17,False,21994.27,2025-07-01,2025-07-08T16:29:04.666662
ORD-bc6a7206,S008,Robinson Inc JetBites,Catering,FL4552,AC4709,2025-06-24,2025-07-16,False,12139.99,2025-07-01,2025-07-08T16:29:04.666689
ORD-b0eb8080,S001,Reed-Houston AeroFuel,Fuel,FL1495,AC9894,2025-06-21,2025-07-12,False,1919.54,2025-07-01,2025-07-08T16:29:04.666754
ORD-268107a5,S006,Pratt-Stone Avionics Services,Maintenance,FL1495,AC9894,2025-06-22,2025-07-08,False,15451.01,2025-07-01,2025-07-08T16:29:04.666781
ORD-561aa5ef,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL1495,AC9894,2025-06-13,2025-07-15,False,5920.72,2025-07-01,2025-07-08T16:29:04.666809
ORD-f66bd8a7,S001,Reed-Houston AeroFuel,Fuel,FL7124,AC2808,2025-07-06,2025-07-08,False,1597.06,2025-07-01,2025-07-08T16:29:04.666873
ORD-a610c6ff,S006,Pratt-Stone Avionics Services,Maintenance,FL7124,AC2808,2025-07-05,2025-07-15,False,7106.54,2025-07-01,2025-07-08T16:29:04.666901
ORD-b0728ab5,S008,Robinson Inc JetBites,Catering,FL7124,AC2808,2025-06-16,2025-07-22,False,5821.91,2025-07-01,2025-07-08T16:29:04.666928
ORD-e3c0439c,S001,Reed-Houston AeroFuel,Fuel,FL8196,AC4686,2025-06-23,2025-07-20,True,8818.86,2025-07-01,2025-07-08T16:29:04.666992
ORD-582de5a4,S005,Zamora-Robinson AeroTech,Maintenance,FL8196,AC4686,2025-06-23,2025-07-08,True,24270.33,2025-07-01,2025-07-08T16:29:04.667020
ORD-2c44fa56,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL8196,AC4686,2025-06-17,2025-07-20,True,19512.37,2025-07-01,2025-07-08T16:29:04.667048
ORD-c81102bb,S001,Reed-Houston AeroFuel,Fuel,FL4855,AC7421,2025-06-13,2025-07-22,False,2311.62,2025-07-01,2025-07-08T16:29:04.667113
ORD-2be2608e,S004,Morris Inc Aircraft Maintenance,Maintenance,FL4855,AC7421,2025-06-18,2025-07-15,False,6383.29,2025-07-01,2025-07-08T16:29:04.667141
ORD-b2a22f9b,S007,Payne-Cunningham CloudCatering,Catering,FL4855,AC7421,2025-07-06,2025-07-21,False,6878.97,2025-07-01,2025-07-08T16:29:04.667168
ORD-ca3dbdaf,S001,Reed-Houston AeroFuel,Fuel,FL1091,AC2808,2025-07-02,2025-07-21,False,1178.19,2025-07-01,2025-07-08T16:29:04.667238
ORD-5901207f,S004,Morris Inc Aircraft Maintenance,Maintenance,FL1091,AC2808,2025-06-16,2025-07-19,False,5624.06,2025-07-01,2025-07-08T16:29:04.667267
ORD-c0522ffe,S007,Payne-Cunningham CloudCatering,Catering,FL1091,AC2808,2025-06-18,2025-07-11,False,4429.06,2025-07-01,2025-07-08T16:29:04.667296
ORD-87b9008d,S001,Reed-Houston AeroFuel,Fuel,FL4961,AC7459,2025-07-06,2025-07-15,False,2374.52,2025-07-01,2025-07-08T16:29:04.667363
ORD-29ab24ae,S006,Pratt-Stone Avionics Services,Maintenance,FL4961,AC7459,2025-06-16,2025-07-19,False,9651.4,2025-07-01,2025-07-08T16:29:04.667392
ORD-34556aeb,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL4961,AC7459,2025-07-02,2025-07-13,False,6855.14,2025-07-01,2025-07-08T16:29:04.667421
