order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-9bbbd8ed,S001,Reed-Houston AeroFuel,Fuel,FL1164,AC9894,2025-07-07,2025-07-15,False,1778.68,2025-06-23,2025-07-08T16:29:04.656748
ORD-76ee5652,S005,Zamora-Robinson AeroTech,Maintenance,FL1164,AC9894,2025-07-06,2025-07-13,False,10554.07,2025-06-23,2025-07-08T16:29:04.656776
ORD-a776abf1,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL1164,AC9894,2025-06-25,2025-07-20,False,4330.94,2025-06-23,2025-07-08T16:29:04.656802
ORD-e84e669d,S001,Reed-Houston AeroFuel,Fuel,FL7120,AC5682,2025-06-26,2025-07-12,False,1406.59,2025-06-23,2025-07-08T16:29:04.656868
ORD-912afd16,S006,Pratt-Stone Avionics Services,Maintenance,FL7120,AC5682,2025-06-14,2025-07-10,False,4828.72,2025-06-23,2025-07-08T16:29:04.656895
ORD-4a5dd40b,S007,Payne-Cunningham CloudCatering,Catering,FL7120,AC5682,2025-06-11,2025-07-10,False,5303.16,2025-06-23,2025-07-08T16:29:04.656922
ORD-37c2cb00,S003,Barker LLC Fuel Systems,Fuel,FL8325,AC5682,2025-06-30,2025-07-12,False,2322.7,2025-06-23,2025-07-08T16:29:04.656987
ORD-7b2183b7,S005,Zamora-Robinson AeroTech,Maintenance,FL8325,AC5682,2025-06-19,2025-07-16,False,7207.68,2025-06-23,2025-07-08T16:29:04.657015
ORD-277a2d9c,S008,Robinson Inc JetBites,Catering,FL8325,AC5682,2025-06-30,2025-07-08,False,6205.13,2025-06-23,2025-07-08T16:29:04.657042
ORD-e36fdbef,S001,Reed-Houston AeroFuel,Fuel,FL6192,AC7459,2025-06-22,2025-07-08,False,787.05,2025-06-23,2025-07-08T16:29:04.657105
ORD-bc2ea143,S005,Zamora-Robinson AeroTech,Maintenance,FL6192,AC7459,2025-06-27,2025-07-09,False,4689.75,2025-06-23,2025-07-08T16:29:04.657132
ORD-1639e2ca,S008,Robinson Inc JetBites,Catering,FL6192,AC7459,2025-07-03,2025-07-14,False,5689.97,2025-06-23,2025-07-08T16:29:04.657159
ORD-32f112eb,S001,Reed-Houston AeroFuel,Fuel,FL2991,AC7421,2025-06-17,2025-07-14,False,1774.42,2025-06-23,2025-07-08T16:29:04.657223
ORD-a427233d,S004,Morris Inc Aircraft Maintenance,Maintenance,FL2991,AC7421,2025-06-16,2025-07-18,False,7688.61,2025-06-23,2025-07-08T16:29:04.657250
ORD-7cdf0bf6,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL2991,AC7421,2025-06-21,2025-07-19,False,8089.21,2025-06-23,2025-07-08T16:29:04.657277
ORD-278f5892,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL1532,AC4686,2025-06-26,2025-07-14,True,4224.94,2025-06-23,2025-07-08T16:29:04.657339
ORD-d1a8bc20,S006,Pratt-Stone Avionics Services,Maintenance,FL1532,AC4686,2025-06-29,2025-07-14,True,24048.34,2025-06-23,2025-07-08T16:29:04.657366
ORD-013c14f5,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL1532,AC4686,2025-06-19,2025-07-14,True,12512.09,2025-06-23,2025-07-08T16:29:04.657393
ORD-9f274dfe,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL5606,AC8469,2025-06-26,2025-07-15,False,4272.77,2025-06-23,2025-07-08T16:29:04.657456
ORD-874c561b,S006,Pratt-Stone Avionics Services,Maintenance,FL5606,AC8469,2025-06-28,2025-07-14,False,24652.19,2025-06-23,2025-07-08T16:29:04.657486
ORD-93ddd28a,S007,Payne-Cunningham CloudCatering,Catering,FL5606,AC8469,2025-06-26,2025-07-12,False,15349.15,2025-06-23,2025-07-08T16:29:04.657513
ORD-98a71f4e,S001,Reed-Houston AeroFuel,Fuel,FL2352,AC2808,2025-06-08,2025-07-11,False,1803.66,2025-06-23,2025-07-08T16:29:04.657578
ORD-d3cc9ae6,S005,Zamora-Robinson AeroTech,Maintenance,FL2352,AC2808,2025-06-08,2025-07-22,False,6569.91,2025-06-23,2025-07-08T16:29:04.657605
ORD-fe7bdd7b,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL2352,AC2808,2025-06-16,2025-07-14,False,6199.14,2025-06-23,2025-07-08T16:29:04.657632
ORD-49aead0e,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL4972,AC7432,2025-06-23,2025-07-17,False,898.5,2025-06-23,2025-07-08T16:29:04.657699
ORD-7010b206,S004,Morris Inc Aircraft Maintenance,Maintenance,FL4972,AC7432,2025-06-30,2025-07-16,False,4722.19,2025-06-23,2025-07-08T16:29:04.657727
ORD-e7cb7e92,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL4972,AC7432,2025-07-03,2025-07-16,False,4107.84,2025-06-23,2025-07-08T16:29:04.657753
ORD-fec6504a,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL5148,AC4674,2025-06-29,2025-07-10,True,3329.21,2025-06-23,2025-07-08T16:29:04.657819
ORD-84893738,S005,Zamora-Robinson AeroTech,Maintenance,FL5148,AC4674,2025-06-28,2025-07-13,True,24411.02,2025-06-23,2025-07-08T16:29:04.657846
ORD-c219dd94,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL5148,AC4674,2025-06-13,2025-07-21,True,17400.69,2025-06-23,2025-07-08T16:29:04.657873
